index,label,action_LL,action_Lcrank,action_RL,action_Rcrank,baseline_height,mean_height,height_delta,min_height,max_height,mean_roll,mean_pitch,max_abs_roll,max_abs_pitch,max_abs_dof_velocity,max_target_error,max_abs_wheel_action,finite,done_seen,position_LL,target_LL,position_Lcrank,target_Lcrank,position_RL,target_RL,position_Rcrank,target_Rcrank
0,zero,0.0,0.0,0.0,0.0,0.08659475296735764,0.08659288287162781,-1.8700957298278809e-06,0.08658861368894577,0.08659908920526505,0.014613895677030087,0.0010378180304542184,0.014623867347836494,0.0010609615128487349,0.3094014525413513,0.0017694601556286216,0.2074357271194458,True,False,-0.0017694601556286216,0.0,-0.001752674812451005,0.0,-0.0013393538538366556,0.0,-0.0013301892904564738,0.0
1,single_LL_pos,0.2,0.0,0.0,0.0,0.08636551350355148,0.08634702861309052,-1.8484890460968018e-05,0.08634508401155472,0.08637590706348419,0.004904912784695625,-0.0001507330744061619,0.014079518616199493,0.00016667036106809974,0.5621377229690552,0.030491895973682404,0.20407985150814056,True,False,0.029508084058761597,0.059999980032444,0.02920583263039589,0.0,-0.002407352440059185,0.0,-0.0023990324698388577,0.0
2,single_LL_neg,-0.2,0.0,0.0,0.0,0.08636477589607239,0.08625619113445282,-0.00010858476161956787,0.08625370264053345,0.08636648952960968,0.024453075602650642,-0.0005522597348317504,0.024510016664862633,0.0005684971692971885,0.41403695940971375,0.03260766714811325,0.3514474332332611,True,False,-0.03294055908918381,-0.059999980032444,-0.03260766714811325,0.0,-0.00035467444104142487,0.0,-0.00034259248059242964,0.0
3,single_Lcrank_pos,0.0,0.2,0.0,0.0,0.08659432828426361,0.08660514652729034,1.0818243026733398e-05,0.0865921825170517,0.0866164118051529,0.005460311658680439,0.00103606260381639,0.014409470371901989,0.0011119464179500937,0.3171740174293518,0.031196964904665947,0.207750603556633,True,False,0.028519179672002792,0.0,0.028803015127778053,0.059999980032444,-0.0015740188537165523,0.0,-0.001569883432239294,0.0
4,single_Lcrank_neg,0.0,-0.2,0.0,0.0,0.08636517822742462,0.08624780178070068,-0.00011737644672393799,0.08624371141195297,0.08636736869812012,0.024284830316901207,-0.0006404359010048211,0.024320270866155624,0.0006672831368632615,0.5354723334312439,0.03282295539975166,0.34457269310951233,True,False,-0.03282295539975166,0.0,-0.03304635360836983,-0.059999980032444,-0.0003488861839286983,0.0,-0.0003400088753551245,0.0
5,single_RL_pos,0.0,0.0,0.2,0.0,0.08636680990457535,0.0863441601395607,-2.2649765014648438e-05,0.08633964508771896,0.08637556433677673,0.004796381574124098,0.00010119454236701131,0.014770052395761013,0.00012284351396374404,0.5487257242202759,0.03030136041343212,0.20897021889686584,True,False,-0.002583398250862956,0.0,-0.0025536781176924706,0.0,0.02969861961901188,0.059999980032444,0.029390092939138412,0.0
6,single_RL_neg,0.0,0.0,-0.2,0.0,0.08636751025915146,0.0862496867775917,-0.00011782348155975342,0.08624251931905746,0.08636751025915146,0.024335812777280807,0.00038845979725010693,0.024374207481741905,0.00043470796663314104,0.6744542121887207,0.0320497564971447,0.3462304174900055,True,False,-0.0009501557215116918,0.0,-0.0009424539748579264,0.0,-0.032341934740543365,-0.059999980032444,-0.0320497564971447,0.0
7,single_Rcrank_pos,0.0,0.0,0.0,0.2,0.08659236878156662,0.08660202473402023,9.655952453613281e-06,0.08659236878156662,0.08661703020334244,0.00573494890704751,0.0010504004312679172,0.014924608170986176,0.0010729976929724216,0.3999137878417969,0.030140692368149757,0.20938128232955933,True,False,-0.0025896597653627396,0.0,-0.0025729741901159286,0.0,0.02958947978913784,0.0,0.029859287664294243,0.059999980032444
8,single_Rcrank_neg,0.0,0.0,0.0,-0.2,0.08659598231315613,0.08647245168685913,-0.00012353062629699707,0.08646941184997559,0.08659598231315613,0.023715516552329063,0.0015755126951262355,0.02374039962887764,0.0015981869073584676,0.5743513107299805,0.03221101686358452,0.33573439717292786,True,False,-0.0009634861489757895,0.0,-0.0009595193550921977,0.0,-0.03221101686358452,0.0,-0.03245868161320686,-0.059999980032444
9,combo_a0p20_nnnn,-0.2,-0.2,-0.2,-0.2,0.0865950882434845,0.08381929248571396,-0.0027757957577705383,0.08233997225761414,0.09139780700206757,0.27461540699005127,-0.0003443301247898489,0.2833847105503082,0.025501776486635208,28.370521545410156,0.010162264108657837,1.0,True,False,-0.07016224414110184,-0.059999980032444,-0.06994083523750305,-0.059999980032444,-0.06762093305587769,-0.059999980032444,-0.06821417063474655,-0.059999980032444
