mate_name,mate_type,alignment,entity_index,component,entity_params,error_code,suppressed
"同心4","1","0","0","RA6008-改1.15-1","0.13049999999999967;4.2486147373445904E-16;0.13049999999999992;1;7.2118487424205051E-17;3.6406793015031537E-16;0.029999999999999999;0","0","False"
"同心4","1","0","1","2_髋关节RA6008压紧盖-1","0.1341;-9.6996783572870034E-15;0.13049999999999998;1;3.5480852219502673E-16;3.8021565021789096E-16;0.048000000000000008;0","0","False"
"重合3","0","1","0","RA6008-改1.15-1","0.13849999999999968;4.2543842163385267E-16;0.13049999999999992;1;7.2118487424205051E-17;3.6406793015031537E-16;0;0","0","False"
"重合3","0","1","1","2_髋关节RA6008压紧盖-1","0.13850000000000001;-9.6981171997893461E-15;0.13049999999999998;-1;-3.5480852219502673E-16;-3.8021565021789096E-16;0;0","0","False"
"同心6","1","1","0","RA6008-改1.15-1","0.13049999999999967;4.2486147373445904E-16;0.13049999999999992;1;7.2118487424205051E-17;3.6406793015031537E-16;0.029999999999999999;0","0","False"
"同心6","1","1","1","新小腿链轮20T M27-改1.15-1","0.13059999999999999;7.225333319469822E-16;0.13049999999999995;-1;-7.0001311773341737E-16;4.0006068649526712E-16;0.030000000000000002;0","0","False"
"重合4","0","1","0","RA6008-改1.15-1","0.13849999999999968;4.2543842163385267E-16;0.13049999999999992;1;7.2118487424205051E-17;3.6406793015031537E-16;0;0","0","False"
"重合4","0","1","1","新小腿链轮20T M27-改1.15-1","0.13850000000000001;-0.024246943406762735;0.14816594847239198;-1;-7.0001311773341737E-16;4.0006068649526712E-16;0;0","0","False"
"同心7","1","1","0","新小腿链轮20T M27-改1.15-1","0.13059999999999999;7.225333319469822E-16;0.13049999999999995;-1;-7.0001311773341737E-16;4.0006068649526712E-16;0.020999999999999998;0","0","False"
"同心7","1","1","1","碗组轴承42-52-7-改1.15-1","0.1575;1.911426672243788E-16;0.13050000000000034;1;3.588175780739458E-17;3.2579126663241606E-17;0.021000000000000001;0","0","False"
"重合5","0","0","0","新小腿链轮20T M27-改1.15-1","0.159;7.424137044906113E-16;0.13049999999999995;1;7.0001311773341737E-16;-4.0006068649526712E-16;0.78539816339744306;0","0","False"
"重合5","0","0","1","碗组轴承42-52-7-改1.15-1","0.15900000000000003;1.9119648986108987E-16;0.13050000000000034;1;3.588175780739458E-17;3.2579126663241606E-17;0.78539816339745294;0","0","False"
"同心8","1","1","0","碗组轴承42-52-7-改1.15-1","0.1575;1.911426672243788E-16;0.13050000000000034;1;3.588175780739458E-17;3.2579126663241606E-17;0.026000000000000002;0","0","False"
"同心8","1","1","1","新大腿链轮20T-改1.15-1","0.15450000000000033;-3.7643499428696714E-16;0.13049999999999964;-1;-2.1720760275899824E-16;-7.262872074925088E-16;0.025999999999999995;0","0","False"
"重合6","0","0","0","碗组轴承42-52-7-改1.15-1","0.16300000000000001;1.9134001689231946E-16;0.13050000000000034;1;3.588175780739458E-17;3.2579126663241606E-17;0.78539816339744828;0","0","False"
"重合6","0","0","1","新大腿链轮20T-改1.15-1","0.16300000000000034;-3.7458872966351564E-16;0.13049999999999964;1;2.1720760275899824E-16;7.262872074925088E-16;0.78539816339744717;0","0","False"
"同心9","1","0","0","新小腿链轮20T M27-改1.15-1","0.13059999999999999;7.225333319469822E-16;0.13049999999999995;-1;-7.0001311773341737E-16;4.0006068649526712E-16;0.020999999999999998;0","0","False"
"同心9","1","0","1","碗组轴承42-52-7-改1.15-2","0.17950000000000002;-6.0175940696138135E-17;0.13049999999999998;-1;3.4248999711674418E-16;3.7765340563276536E-16;0.021000000000000001;0","0","False"
"同心10","1","0","0","新小腿链轮20T M27-改1.15-1","0.13059999999999999;7.225333319469822E-16;0.13049999999999995;-1;-7.0001311773341737E-16;4.0006068649526712E-16;0.020999999999999998;0","0","False"
"同心10","1","0","1","2_大腿-改1.15-1","0.17700000000000013;-6.3634836896965559E-15;0.13049999999999987;-1;9.6041176133885765E-18;2.9860266512610748E-16;0.028000000000000001;0","0","False"
