mate_name,mate_type,alignment,entity_index,component,entity_params,error_code,suppressed
"重合1","0","1","0","底盘总装-1/2_髋关节RA6008压紧盖-1","0.1318;-9.7052544981061324E-15;0.17949999999999999;-3.6233640473338429E-16;-9.7144514654701173E-17;1;0;0","0","False"
"重合1","0","1","1","云台装配-1/云台支撑板-1","-8.9390105735175164E-18;7.2858385991025898E-17;0.17949999999999997;3.5880429933062667E-16;7.1403161011608265E-17;-1;0;0","0","False"
"宽度1","11","1","0","云台装配-1/云台支撑板-1","0.14169999999999999;1.4701349693289074E-16;0.18750000000000003;1;5.2735593669694926E-16;3.5880429933062672E-16;0;0","0","False"
"宽度1","11","1","1","云台装配-1/云台支撑板-1","-0.14169999999999999;-2.4391755270246803E-18;0.18749999999999992;-1;-5.2735593669694926E-16;-3.5880429933062672E-16;0;0","0","False"
"宽度1","11","1","2","底盘总装-1/底盘装配v0-1/底盘骨架-final-1","-0.072000000000000008;-2.5561922278888428E-17;0;-1;-3.5584071302088377E-16;0;0;0","0","False"
"宽度1","11","1","3","底盘总装-1/底盘装配v0-1/底盘骨架-final-1","0.072000000000000008;-2.5561922278888428E-17;0;1;-3.5584071302088377E-16;0;0;0","0","False"
"宽度2","11","1","0","云台装配-1/云台支撑板-1","1.7195131550169672E-17;-0.05499999999999991;0.18749999999999997;5.2735593669694926E-16;-1;-7.140316101160808E-17;0;0","0","False"
"宽度2","11","1","1","云台装配-1/云台支撑板-1","-1.1714185442947386E-16;0.05499999999999991;0.18749999999999997;-1.9151347174783938E-15;1;7.1403161011607587E-17;0;0","0","False"
"宽度2","11","1","2","底盘总装-1/底盘装配v0-1/底盘骨架-final-1","-0.126;0.089999999999999997;0.029999999999999999;0;1;0;0;0","0","False"
"宽度2","11","1","3","底盘总装-1/底盘装配v0-1/底盘骨架-final-1","-0.126;-0.089999999999999997;0.029999999999999999;0;-1;0;0;0","0","False"
"重合2","0","1","0","云台装配-1/云台支撑板-1","-1.180944496816253E-17;7.2287160702933029E-17;0.18749999999999997;-3.5880429933062667E-16;-7.1403161011608265E-17;1;0;0","0","False"
"重合2","0","1","1","平开合页20X20-1/平开合页b-1","0.064000000000000057;-0.033000000000000994;0.18750000000000647;3.581589774178477E-16;-1.1275702593849343E-17;-1;0;0","0","False"
"同心1","1","0","0","云台装配-1/云台支撑板-1","0.048000000000000008;-0.025999999999999902;0.17749999999999999;-3.5880429933062667E-16;-7.1403161011608265E-17;1;0.0015999999999999983;0","0","False"
"同心1","1","0","1","平开合页20X20-1/平开合页b-1","0.048000000000000057;-0.026000000000001001;0.18090000000000647;-3.5815897741784765E-16;-1.4361032204693701E-16;1;0.0015000000000000007;0","0","False"
