instance,path,configuration,suppression_state,transform_4x4
"髋关节锁盖M24-1","E:\2025赛季\串联腿\髋关节锁盖M24.SLDPRT","默认","0","-0.9996948491872788;-0.024702398839467059;1.5666908414328745E-16;-0.024702398839467059;0.9996948491872788;1.6398293764618845E-17;-1.5702635363779321E-16;1.2523187609627834E-17;-0.99999999999999989;3.2642136339737547E-18;0.020000000000000007;0.097500000000000003;1;0;0;0"
"RA6008-1","E:\2025赛季\串联腿\RA6008.SLDPRT","默认","0","0.99998632158689205;0.0052303574559515748;0;-0.0052303574559515748;0.99998632158689205;0;0;0;1;-2.9679253980266856E-20;0.02;0.0085000000000000006;1;0;0;0"
"大腿链轮20T-1","E:\2025赛季\串联腿\大腿链轮20T.SLDPRT","默认","0","-0.49715787792420124;0.86766009728343785;-1.0477650318819652E-16;0.86766009728343785;0.49715787792420124;3.3482670923434251E-16;3.4260623908872509E-16;7.5551345286000221E-17;-0.99999999999999978;1.3706034488803555E-15;0.020000000000000805;0.041000000000000023;1;0;0;0"
"6802轴承 15-24-5-1","E:\2025赛季\串联腿\6802轴承 15-24-5.SLDPRT","默认","0","0.99962584024402301;-0.027352870350865369;0;0.027352870350865369;0.99962584024402301;0;0;0;1;-8.01030721458406E-19;0.020000000000000007;0.074999999999999997;1;0;0;0"
"大腿-1","E:\2025赛季\串联腿\大腿.SLDPRT","默认","0","-0.97492291743309967;-0.2225428162483199;1.213440815965852E-15;0.2225428162483199;-0.97492291743309967;1.0744327907083183E-15;9.4390396132005843E-16;1.31753168743884E-15;0.99999999999999989;5.6604552794248807E-18;0.020000000000000011;0.034000000000000009;1;0;0;0"
"碗组轴承40.5-49.5-6.5-1","E:\2025赛季\串联腿\碗组轴承40.5-49.5-6.5.SLDPRT","默认","0","-0.94717417284212657;-0.32071963815899041;0;0.32071963815899041;-0.94717417284212657;0;0;0;1;1.3718328316951748E-15;0.020000000000000791;0.034750000000000003;1;0;0;0"
"大侧板-1","E:\2025赛季\串联腿\大侧板.SLDPRT","默认","0","1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0"
"小腿链轮20T M24-1","E:\2025赛季\串联腿\小腿链轮20T M24.SLDPRT","默认","0","-0.68018919101731767;-0.73303660510455226;1.0806615607582538E-16;-0.73303660510455226;0.68018919101731767;-1.1555095909456882E-16;1.1197651493690891E-17;-1.5781296156433164E-16;-1;2.6975668870263903E-17;0.020000000000000007;0.076499999999999999;1;0;0;0"
"髋关节轴承座-1","E:\2025赛季\串联腿\髋关节轴承座.SLDPRT","默认","0","-0.33171304809788205;-0.94338033354613249;-9.7349030979390975E-17;0.94338033354613249;-0.33171304809788205;-2.3194867496650339E-17;-1.0410361960000581E-17;-9.9531201513271017E-17;1;-9.1412193856206947E-20;0.020000000000000011;0.042000000000000051;1;0;0;0"
"MT2042-6线5A-1","E:\2025赛季\滑环\MT2042-6线5A.SLDPRT","默认","0","0.99969484918727869;0.024702398839476052;7.9255658805014689E-17;0.024702398839476052;-0.99969484918727869;2.5135706322864459E-17;7.9852386119016914E-17;-2.3170231247564824E-17;-1;-3.2080030545497627E-18;0.020000000000000011;0.1109;1;0;0;0"
"碗组轴承40.5-49.5-6.5-2","E:\2025赛季\串联腿\碗组轴承40.5-49.5-6.5.SLDPRT","默认","0","0.95380028198520417;-0.30044137878285915;-5.9115018366759684E-17;-0.30044137878285915;-0.95380028198520417;8.0748066938542064E-17;-8.0643981752842103E-17;-5.925693139085825E-17;-1;-8.8186198326158104E-20;0.020000000000000011;0.048250000000000057;1;0;0;0"
"垫片15-18-1-1","E:\2025赛季\串联腿\垫片15-18-1.SLDPRT","默认","0","1;0;0;0;1;0;0;0;1;9.486588097516683E-18;0.019999999999999997;0.071499999999999994;1;0;0;0"
"膝关节轴承座-1","E:\2025赛季\串联腿\膝关节轴承座.SLDPRT","默认","0","6.9388939039072284E-18;-6.9388939039072284E-18;1;-0.22431993281025234;0.9745155554140752;1.0408340855860843E-17;-0.9745155554140752;-0.22431993281025231;6.9388939039072284E-18;-0.20897345939106468;-0.0083156474148211416;0.039000000000000236;1;0;0;0"
"膝关节螺母M27-1","E:\2025赛季\串联腿\膝关节螺母M27.SLDPRT","默认","0","2.7755575615629012E-17;-1.1102230246251615E-16;1;0.0033681812141853162;0.9999943276615666;1.1092818689806547E-16;-0.9999943276615666;0.0033681812141853162;2.8129361410120544E-17;-0.20473381266095089;-0.026733991412147166;0.03240000000000038;1;0;0;0"
"膝关节锁盖M27-1","E:\2025赛季\串联腿\膝关节锁盖M27.SLDPRT","默认","0","1;0;0;0;1;0;0;0;1;-0.20473381266095089;-0.026733991412147166;0.027100000000000068;1;0;0;0"
"膝关节垫板-1","E:\2025赛季\串联腿\膝关节垫板.SLDPRT","默认","0","1;0;0;0;1;0;0;0;1;-0.20473381266095089;-0.026733991412147169;0.047900000000000394;1;0;0;0"
