instance,path,configuration,suppression_state,transform_4x4
"2_髋关节RA6008压紧盖-1","D:\WheelLeg\2_髋关节RA6008压紧盖.SLDPRT","默认","2","3.3041751973191154E-16;-1;-8.3266726846886741E-17;-3.6233640473338438E-16;-9.7144514654701197E-17;1.0000000000000002;-0.99999999999999989;-3.5480852219502663E-16;-3.8021565021789086E-16;0.14180000000000001;-9.6703563957947232E-15;0.1305;1;0;0;0"
"新大腿链轮20T-改1.15-1","E:\2025赛季\串联腿v2\新大腿链轮20T-改1.15.SLDPRT","默认","0","1;2.1720760275899824E-16;7.262872074925088E-16;2.8732892154200216E-16;0.77798555381894308;-0.62828216435693307;-7.0150861812887744E-16;0.62828216435693307;0.77798555381894308;0.15450000000000033;-3.7643499428696714E-16;0.13049999999999964;1;0;0;0"
"新小腿链轮20T M27-改1.15-1","E:\2025赛季\串联腿v2\新小腿链轮20T M27-改1.15.SLDPRT","默认","0","1;7.0001311773341737E-16;-4.0006068649526712E-16;8.013543307709795E-16;-0.80823144689211535;0.58886494907973397;8.8871561438511938E-17;-0.58886494907973397;-0.80823144689211535;0.13059999999999999;7.225333319469822E-16;0.13049999999999995;1;0;0;0"
"新髋关节轴承座-改1.15-1","E:\2025赛季\串联腿v2\新髋关节轴承座-改1.15.SLDPRT","默认","0","1;2.0392561858053058E-16;2.9399835484327794E-16;-2.3390142290819938E-16;0.99438143968589487;0.10585628185519898;-2.7075969959638675E-16;-0.10585628185519898;0.99438143968589487;0.17000000000000035;-4.640385298237958E-16;0.13049999999999992;1;0;0;0"
"碗组轴承42-52-7-改1.15-1","D:\WheelLeg\碗组轴承42-52-7-改1.15.SLDPRT","默认","2","-4.7042222581469169E-17;0.8803242036721648;0.47437252916770922;1.1658873534075784E-17;0.47437252916770922;-0.8803242036721648;-1;-3.588175780739458E-17;-3.2579126663241606E-17;0.16450000000000001;1.9139383952903055E-16;0.13050000000000034;1;0;0;0"
"RA6008-改1.15-1","D:\WheelLeg\RA6008-改1.15.SLDPRT","默认","2","-3.4686971316731884E-16;-0.16731219864480751;0.98590396499083044;-1.3201490855017853E-16;0.98590396499083044;0.16731219864480748;-1;-7.2118487424205051E-17;-3.6406793015031537E-16;0.13449999999999968;4.2514994768415586E-16;0.13049999999999992;1;0;0;0"
"MT2042-6线5A-改1.15-1","D:\WheelLeg\MT2042-6线5A-改1.15.SLDPRT","默认","2","-3.4661130499575868E-16;0.58886494907957665;0.80823144689222981;-8.8641543570851909E-17;0.80823144689222981;-0.58886494907957665;-0.99999999999999978;-2.7575013148176336E-16;-2.2794425850474121E-16;0.24090000000000011;-1.7461229142702026E-12;0.13050000000124848;1;0;0;0"
"2_大腿-改1.15-1","D:\WheelLeg\2_大腿-改1.15.SLDPRT","默认","2","-1.2346779776088598E-16;-0.92342259721919306;-0.3837847143190567;-2.7205053503278211E-16;0.3837847143190567;-0.92342259721919306;0.99999999999999989;-9.604117613388575E-18;-2.9860266512610743E-16;0.16200000000000014;-6.308994116445347E-15;0.13049999999999989;1;0;0;0"
"新侧挂轴-改4.15-1","D:\WheelLeg\新侧挂轴-改4.15.SLDPRT","默认","2","6.9427293207097194E-17;-0.99999999999999989;-1.5309975509580909E-13;-4.539841740799967E-18;-1.5309975509580909E-13;0.99999999999999989;-0.99999999999999978;-6.9427293207096491E-17;-4.5398417408105959E-18;0.2414;-2.8917489169235197E-15;0.13049999999999998;1;0;0;0"
"小腿-改1.15-1","D:\WheelLeg\小腿-改1.15.SLDPRT","默认","2","-2.833382120124445E-17;0.77567498166419013;-0.63113257150955093;8.429554179460568E-17;0.63113257150955093;0.77567498166419013;0.99999999999999989;-3.1223874951149564E-17;-8.3268318814791552E-17;0.1779999999999998;-0.19391874541604229;0.049905209992977054;1;0;0;0"
