mate_name,mate_type,alignment,entity_index,component,entity_params,error_code,suppressed,reference_type,reference_class,face_id,surface_type,surface_params,persist_reference_base64
"同心4","1","0","0","RA6008-改1.15-1","0.13049999999999967;4.2486147373445904E-16;0.13049999999999992;1;7.2118487424205051E-17;3.6406793015031537E-16;0.029999999999999999;0","0","False","2","System.__ComObject","0","cylinder","0;0;0.0040000000000000001;0;0;-1;0.029999999999999999","aEIAAAMAAAD//v8jUgBBADYAMAAwADgALQA5ZTEALgAxADUALQAxAEAAYwBoAGEAcwBzAGkAcwAuAGMAYQBkAF8AcgBlAHAAYQBpAHIAZQBkAAQAAAAQAAAAAQAAAAEAAAAgAAAA//8BAAsAbW9GYWNlUmVmX2MBAAAAAAAAAAUAAAAAAwAAAAAAAH3DlCWtSbJUfcOUJa1JslQAAP//AQAXAG1vRnJvbVNrdEVudFN1cmZJZFJlcF9jAAD//wEABgBtb0ZSX2P//wEADQBtb0V4dE9iamVjdF9j//8BABEAbW9DU3RyaW5nSGFuZGxlX2P//v8jRQA6AFwAMgAwADIANQBbjWNbXAAyTlSAf4F2ADIAXABSAEEANgAwADAAOAAtADllMQAuADEANQAuAFMATABEAFAAUgBUAAmA//7/DFIAQQA2ADAAMAA4AC0AOWUxAC4AMQA1AAIAAK5wH2f//v8A//7/AP/+/wAAAAAAAAAAAAAAAAAAAHICAAD//v8C2J6kiwAAAAAAAAAAAAAAAAAAAABRAAAAw3AfZwEAAAD//wEAFABtb0VuZEZhY2VTdXJmSWRSZXBfYwAABYAIAFEAAADDcB9nAQAAAAEAAAAAAAyAAAAFgAgAUQAAAMNwH2cAAAAAAQAAAAAAAAAAAAAAAABoQgAAAAAAAAAAAAA="
"同心4","1","0","1","2_髋关节RA6008压紧盖-1","0.1341;-9.6730884214156242E-15;0.1305;1;3.5480852219502673E-16;3.8021565021789096E-16;0.048000000000000008;0","0","False","2","System.__ComObject","0","cylinder","0;0;0.0077000000000000002;0;0;-1;0.048000000000000008","aEIAAAMAAAD//v8lMgBfAMuac1GCglIAQQA2ADAAMAA4AItTJ33Wdi0AMQBAAGMAaABhAHMAcwBpAHMALgBjAGEAZABfAHIAZQBwAGEAaQByAGUAZAAEAAAAEAAAAAEAAAABAAAASwAAAP//AQALAG1vRmFjZVJlZl9jAQAAAAAAAAAGAAAAAAMAAAAAAAB9w5QlrUmyVH3DlCWtSbJUAAD//wEAFwBtb0Zyb21Ta3RFbnRTdXJmSWRSZXBfYwAA//8BAAYAbW9GUl9j//8BAA0AbW9FeHRPYmplY3RfY///AQARAG1vQ1N0cmluZ0hhbmRsZV9j//7/MUYAOgBcAC1O83e5bFwAlV7YdqBS5V32TlwAMgBfAMuac1GCglIAQQA2ADAAMAA4AItTJ33WdlwAMgBfAMuac1GCglIAQQA2ADAAMAA4AItTJ33Wdi4AUwBMAEQAUABSAFQACYD//v8OMgBfAMuac1GCglIAQQA2ADAAMAA4AItTJ33WdgIAAD8hJmf//v8A//7/AP/+/wAAAAAAAAAAAAAAAAAAAIkDAAD//v8C2J6kiwAAAAAAAAAAAAAAAAAAAABRAAAAyyEmZwIAAAD//wEAFABtb0VuZEZhY2VTdXJmSWRSZXBfYwAABYAIAFEAAADLISZnAAAAAAEAAAD//wEAEwBtb0ZpbGxldFN1cmZJZFJlcF9jAAAFgAgARwIAAKrxh2cBAAAADIAAAAWACABRAAAAyyEmZwEAAAABAAAAD4AAAAWACABHAgAAqvGHZwIAAAAAAAAAAAAAAAAAaEIAAAAAAAAAAAAA"
"重合3","0","1","0","RA6008-改1.15-1","0.13849999999999968;4.2543842163385267E-16;0.13049999999999992;1;7.2118487424205051E-17;3.6406793015031537E-16;0;0","0","False","2","System.__ComObject","0","plane","","aEIAAAMAAAD//v8jUgBBADYAMAAwADgALQA5ZTEALgAxADUALQAxAEAAYwBoAGEAcwBzAGkAcwAuAGMAYQBkAF8AcgBlAHAAYQBpAHIAZQBkAAQAAAAQAAAAAQAAAAEAAAAgAAAA//8BAAsAbW9GYWNlUmVmX2MBAAAAAAAAAAUAAAAAAwAAAAAAAH3DlCWtSbJUfcOUJa1JslQAAP//AQAUAG1vRW5kRmFjZVN1cmZJZFJlcF9jAAD//wEABgBtb0ZSX2P//wEADQBtb0V4dE9iamVjdF9j//8BABEAbW9DU3RyaW5nSGFuZGxlX2P//v8jRQA6AFwAMgAwADIANQBbjWNbXAAyTlSAf4F2ADIAXABSAEEANgAwADAAOAAtADllMQAuADEANQAuAFMATABEAFAAUgBUAAmA//7/DFIAQQA2ADAAMAA4AC0AOWUxAC4AMQA1AAIAAK5wH2f//v8A//7/AP/+/wAAAAAAAAAAAAAAAAAAAHICAAD//v8C2J6kiwAAAAAAAAAAAAAAAAAAAABRAAAAw3AfZwAAAAABAAAA//8BABcAbW9Gcm9tU2t0RW50U3VyZklkUmVwX2MAAAWACABRAAAAw3AfZwIAAAAAAP//AQAXAG1vTWlyUGF0dGVyblN1cmZJZFJlcF9jAAAFgAgAXQAAAOFwH2f//wEAGwBtb0Zyb21Ta3RFbnQzSW50U3VyZklkUmVwX2MAAAWACABcAAAA2XAfZwQAAAD/////AAAAAAAAAAAAAAAAAABoQgAAAAAAAAAAAAA="
"重合3","0","1","1","2_髋关节RA6008压紧盖-1","0.13850000000000001;-9.6715272639179669E-15;0.1305;-1;-3.5480852219502673E-16;-3.8021565021789096E-16;0;0","0","False","2","System.__ComObject","0","plane","","aEIAAAMAAAD//v8lMgBfAMuac1GCglIAQQA2ADAAMAA4AItTJ33Wdi0AMQBAAGMAaABhAHMAcwBpAHMALgBjAGEAZABfAHIAZQBwAGEAaQByAGUAZAAEAAAAEAAAAAEAAAABAAAASwAAAP//AQALAG1vRmFjZVJlZl9jAQAAAAAAAAAFAAAAAAMAAAAAAAB9w5QlrUmyVH3DlCWtSbJUAAD//wEAGABtb0VuZEZhY2UzSW50U3VyZklkUmVwX2MAAP//AQAGAG1vRlJfY///AQANAG1vRXh0T2JqZWN0X2P//wEAEQBtb0NTdHJpbmdIYW5kbGVfY//+/zFGADoAXAAtTvN3uWxcAJVe2HagUuVd9k5cADIAXwDLmnNRgoJSAEEANgAwADAAOACLUyd91nZcADIAXwDLmnNRgoJSAEEANgAwADAAOACLUyd91nYuAFMATABEAFAAUgBUAAmA//7/DjIAXwDLmnNRgoJSAEEANgAwADAAOACLUyd91nYCAAA/ISZn//7/AP/+/wD//v8AAAAAAAAAAAAAAAAAAACJAwAA//7/AtiepIsAAAAAAAAAAAAAAAAAAAAAKQIAAI+xh2cBAAAAAQAAAAAAAAD//wEAFwBtb0Zyb21Ta3RFbnRTdXJmSWRSZXBfYwAABYAIAFEAAADLISZnAQAAAAAA//8BABsAbW9Gcm9tU2t0RW50M0ludFN1cmZJZFJlcF9jAAAFgAgAWgAAAAIiJmcEAAAA/////wAAAAAAAAAAAAAAAAAAaEIAAAAAAAAAAAAA"
"同心6","1","1","0","RA6008-改1.15-1","0.13049999999999967;4.2486147373445904E-16;0.13049999999999992;1;7.2118487424205051E-17;3.6406793015031537E-16;0.029999999999999999;0","0","False","2","System.__ComObject","0","cylinder","0;0;0.0040000000000000001;0;0;-1;0.029999999999999999","aEIAAAMAAAD//v8jUgBBADYAMAAwADgALQA5ZTEALgAxADUALQAxAEAAYwBoAGEAcwBzAGkAcwAuAGMAYQBkAF8AcgBlAHAAYQBpAHIAZQBkAAQAAAAQAAAAAQAAAAEAAAAgAAAA//8BAAsAbW9GYWNlUmVmX2MBAAAAAAAAAAUAAAAAAwAAAAAAAH3DlCWtSbJUfcOUJa1JslQAAP//AQAXAG1vRnJvbVNrdEVudFN1cmZJZFJlcF9jAAD//wEABgBtb0ZSX2P//wEADQBtb0V4dE9iamVjdF9j//8BABEAbW9DU3RyaW5nSGFuZGxlX2P//v8jRQA6AFwAMgAwADIANQBbjWNbXAAyTlSAf4F2ADIAXABSAEEANgAwADAAOAAtADllMQAuADEANQAuAFMATABEAFAAUgBUAAmA//7/DFIAQQA2ADAAMAA4AC0AOWUxAC4AMQA1AAIAAK5wH2f//v8A//7/AP/+/wAAAAAAAAAAAAAAAAAAAHICAAD//v8C2J6kiwAAAAAAAAAAAAAAAAAAAABRAAAAw3AfZwEAAAD//wEAFABtb0VuZEZhY2VTdXJmSWRSZXBfYwAABYAIAFEAAADDcB9nAQAAAAEAAAAAAAyAAAAFgAgAUQAAAMNwH2cAAAAAAQAAAAAAAAAAAAAAAABoQgAAAAAAAAAAAAA="
"同心6","1","1","1","新小腿链轮20T M27-改1.15-1","0.13059999999999999;7.225333319469822E-16;0.13049999999999995;-1;-7.0001311773341737E-16;4.0006068649526712E-16;0.030000000000000002;0","0","False","2","","","","",""
"重合4","0","1","0","RA6008-改1.15-1","0.13849999999999968;4.2543842163385267E-16;0.13049999999999992;1;7.2118487424205051E-17;3.6406793015031537E-16;0;0","0","False","2","System.__ComObject","0","plane","","aEIAAAMAAAD//v8jUgBBADYAMAAwADgALQA5ZTEALgAxADUALQAxAEAAYwBoAGEAcwBzAGkAcwAuAGMAYQBkAF8AcgBlAHAAYQBpAHIAZQBkAAQAAAAQAAAAAQAAAAEAAAAgAAAA//8BAAsAbW9GYWNlUmVmX2MBAAAAAAAAAAUAAAAAAwAAAAAAAH3DlCWtSbJUfcOUJa1JslQAAP//AQAUAG1vRW5kRmFjZVN1cmZJZFJlcF9jAAD//wEABgBtb0ZSX2P//wEADQBtb0V4dE9iamVjdF9j//8BABEAbW9DU3RyaW5nSGFuZGxlX2P//v8jRQA6AFwAMgAwADIANQBbjWNbXAAyTlSAf4F2ADIAXABSAEEANgAwADAAOAAtADllMQAuADEANQAuAFMATABEAFAAUgBUAAmA//7/DFIAQQA2ADAAMAA4AC0AOWUxAC4AMQA1AAIAAK5wH2f//v8A//7/AP/+/wAAAAAAAAAAAAAAAAAAAHICAAD//v8C2J6kiwAAAAAAAAAAAAAAAAAAAABRAAAAw3AfZwAAAAABAAAA//8BABcAbW9NaXJQYXR0ZXJuU3VyZklkUmVwX2MAAAWACABdAAAA4XAfZ///AQAbAG1vRnJvbVNrdEVudDNJbnRTdXJmSWRSZXBfYwAABYAIAFwAAADZcB9nAwAAAP////8AAAAAAAD//wEAFwBtb0Zyb21Ta3RFbnRTdXJmSWRSZXBfYwAABYAIAFEAAADDcB9nAQAAAAAAAAAAAAAAAABoQgAAAAAAAAAAAAA="
"重合4","0","1","1","新小腿链轮20T M27-改1.15-1","0.13850000000000001;-0.024246943406762735;0.14816594847239198;-1;-7.0001311773341737E-16;4.0006068649526712E-16;0;0","0","False","2","","","","",""
"同心7","1","1","0","新小腿链轮20T M27-改1.15-1","0.13059999999999999;7.225333319469822E-16;0.13049999999999995;-1;-7.0001311773341737E-16;4.0006068649526712E-16;0.020999999999999998;0","0","False","2","","","","",""
"同心7","1","1","1","碗组轴承42-52-7-改1.15-1","0.1575;1.911426672243788E-16;0.13050000000000034;1;3.588175780739458E-17;3.2579126663241606E-17;0.021000000000000001;0","0","False","2","System.__ComObject","0","cylinder","0;0;0.0070000000000000001;0;0;-1;0.021000000000000001","aEIAAAMAAAD//v8ol3jEfnSPf2I0ADIALQA1ADIALQA3AC0AOWUxAC4AMQA1AC0AMQBAAGMAaABhAHMAcwBpAHMALgBjAGEAZABfAHIAZQBwAGEAaQByAGUAZAAEAAAAEAAAAAEAAAABAAAAVAAAAP//AQALAG1vRmFjZVJlZl9jAQAAAAAAAAAFAAAAAAMAAAAAAAB9w5QlrUmyVH3DlCWtSbJUAAD//wEAFwBtb0Zyb21Ta3RFbnRTdXJmSWRSZXBfYwAA//8BAAYAbW9GUl9j//8BAA0AbW9FeHRPYmplY3RfY///AQARAG1vQ1N0cmluZ0hhbmRsZV9j//7/KEUAOgBcADIAMAAyADUAW41jW1wAMk5UgH+BdgAyAFwAl3jEfnSPf2I0ADIALQA1ADIALQA3AC0AOWUxAC4AMQA1AC4AUwBMAEQAUABSAFQACYD//v8Rl3jEfnSPf2I0ADIALQA1ADIALQA3AC0AOWUxAC4AMQA1AAIAAP3kJ2f//v8A//7/AP/+/wAAAAAAAAAAAAAAAAAAAGsCAAD//v8C2J6kiwAAAAAAAAAAAAAAAAAAAABRAAAAD+UnZwIAAAD//wEAEwBtb0ZpbGxldFN1cmZJZFJlcF9jAAAFgAgAVAAAABnlJ2cCAAAAAAD//wEAFABtb0VuZEZhY2VTdXJmSWRSZXBfYwAABYAIAFEAAAAP5SdnAAAAAAAAAAAAAAAAAAAAAAAAaEIAAAAAAAAAAAAA"
