rank,score,pose_LL,pose_Lcrank,pose_RL,pose_Rcrank,init_roll,kp,kd,kv,tail_abs_roll,max_abs_roll,tail_height,tail_abs_v,tail_leg_error,height_deficit,saturation,done,passed
1,1.400772,+0.0800,+0.0800,-0.0800,-0.0800,+0.0000,-6.0000,+0.2000,-0.2000,0.254969,0.301744,0.086192,0.235721,0.015441,0.003918,0.944286,False,"tensor(False, device='cuda:0')"
2,1.403479,+0.0800,+0.0800,-0.0800,-0.0800,+0.0000,-6.0000,-0.2000,-0.2000,0.278119,0.284795,0.085951,0.258831,0.017424,0.002614,0.980000,False,"tensor(False, device='cuda:0')"
3,1.405358,+0.0400,+0.0400,-0.0400,-0.0400,+0.0000,-6.0000,-0.2000,+0.0000,0.282571,0.289149,0.086261,0.260807,0.018512,0.002081,0.981429,False,"tensor(False, device='cuda:0')"
4,1.406003,-0.0800,-0.0800,+0.0800,+0.0800,+0.0000,-6.0000,-0.2000,-0.2000,0.278344,0.285226,0.086034,0.261612,0.018202,0.002552,0.982857,False,"tensor(False, device='cuda:0')"
5,1.406089,+0.0800,+0.0800,-0.0800,-0.0800,+0.0000,-6.0000,-0.6000,+0.2000,0.278065,0.285656,0.085952,0.257772,0.017557,0.002571,0.984286,False,"tensor(False, device='cuda:0')"
6,1.406240,-0.0800,-0.0800,+0.0800,+0.0800,+0.0000,-6.0000,-0.2000,+0.0000,0.278351,0.285338,0.086035,0.261157,0.018229,0.002562,0.982857,False,"tensor(False, device='cuda:0')"
7,1.406243,-0.1200,-0.1200,+0.1200,+0.1200,+0.0000,-6.0000,+0.2000,-0.2000,0.273055,0.281416,0.085505,0.264225,0.016553,0.003269,0.977143,False,"tensor(False, device='cuda:0')"
8,1.406662,+0.0400,+0.0400,-0.0400,-0.0400,+0.0000,-6.0000,+0.2000,-0.2000,0.282480,0.289363,0.086246,0.260041,0.018718,0.002314,0.975714,False,"tensor(False, device='cuda:0')"
9,1.406759,+0.0400,+0.0400,-0.0400,-0.0400,+0.0000,-6.0000,-0.2000,-0.2000,0.282594,0.289430,0.086257,0.258662,0.018631,0.002160,0.981429,False,"tensor(False, device='cuda:0')"
10,1.407476,+0.0400,+0.0400,-0.0400,-0.0400,+0.0000,-6.0000,-0.2000,+0.2000,0.282563,0.288553,0.086269,0.259384,0.018571,0.002249,0.981429,False,"tensor(False, device='cuda:0')"
