rank,score,pose_LL,pose_Lcrank,pose_RL,pose_Rcrank,init_roll,kp,kd,kv,tail_abs_roll,max_abs_roll,tail_height,tail_abs_v,tail_leg_error,height_deficit,saturation,done,passed
1,0.243145,+0.1200,+0.1200,+0.1200,+0.1200,+0.0000,-4.0000,+0.2000,+0.3000,0.004172,0.015403,0.091069,0.302842,0.016242,0.000000,0.000000,False,True
2,0.244214,+0.1800,+0.1800,+0.1800,+0.1800,+0.0000,+8.0000,+0.2000,+0.3000,0.003676,0.013756,0.092724,0.312506,0.013571,0.000000,0.000000,False,True
3,0.245691,+0.2500,+0.2500,+0.2500,+0.2500,+0.0000,+8.0000,+0.6000,-0.3000,0.003614,0.011506,0.093888,0.322557,0.010619,0.000000,0.000000,False,True
4,0.245711,+0.1200,+0.1200,+0.1200,+0.1200,+0.0000,+4.0000,+0.2000,+0.0000,0.004318,0.013845,0.091107,0.308547,0.017657,0.000000,0.000000,False,True
5,0.246045,+0.1800,+0.1800,+0.1800,+0.1800,+0.0000,-1.0000,-0.6000,-0.3000,0.004030,0.012546,0.092743,0.315421,0.014777,0.000000,0.000000,False,True
6,0.246303,+0.1800,+0.1800,+0.1800,+0.1800,+0.0000,-4.0000,+0.6000,-0.3000,0.003827,0.014402,0.092636,0.316727,0.014917,0.000000,0.000000,False,True
7,0.246671,+0.2500,+0.2500,+0.2500,+0.2500,+0.0000,-1.0000,-0.6000,+0.0000,0.003826,0.011690,0.093943,0.325198,0.010571,0.000000,0.000000,False,True
8,0.248616,+0.1200,+0.1200,+0.1200,+0.1200,+0.0000,+8.0000,-1.5000,+0.0000,0.004357,0.012764,0.091076,0.312275,0.017724,0.000000,0.002857,False,True
9,0.252947,+0.0800,+0.0800,+0.0800,+0.0800,+0.0000,-4.0000,-1.5000,+0.0000,0.004120,0.014758,0.089622,0.306429,0.019657,0.000353,0.000000,False,True
10,0.258952,+0.1800,+0.1800,+0.1800,+0.1800,+0.0000,+8.0000,-1.5000,+0.3000,0.004170,0.014418,0.092739,0.320738,0.014834,0.000000,0.018571,False,True
11,0.282818,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-8.0000,-1.5000,-0.3000,0.002834,0.009097,0.086315,0.283514,0.019889,0.002249,0.000000,False,True
12,0.284159,+0.0400,+0.0400,-0.0400,-0.0400,+0.0000,+1.0000,-1.5000,-0.3000,0.008345,0.019081,0.086272,0.269717,0.018666,0.002278,0.000000,False,True
