rank,score,pose_LL,pose_Lcrank,pose_RL,pose_Rcrank,init_roll,kp,kd,kv,tail_abs_roll,max_abs_roll,tail_height,tail_abs_v,tail_leg_error,height_deficit,saturation,done,passed
1,0.329027,+0.2500,+0.2500,+0.2500,+0.2500,-0.0600,+1.0000,+0.2000,+0.0000,0.003863,0.160448,0.093944,0.318655,0.009881,0.000000,0.000000,False,False
2,0.333816,+0.2500,+0.2500,+0.2500,+0.2500,-0.0600,+1.0000,-1.5000,+0.3000,0.003845,0.153130,0.093903,0.316453,0.009806,0.000000,0.026250,False,True
3,0.344640,+0.2500,+0.2500,+0.2500,+0.2500,-0.0600,-1.0000,-1.5000,+0.3000,0.003811,0.157363,0.093969,0.329416,0.010392,0.000000,0.027500,False,True
4,0.345548,+0.1200,+0.1200,+0.1200,+0.1200,-0.0600,-1.0000,+1.5000,-0.3000,0.003721,0.158546,0.091025,0.304507,0.016522,0.000000,0.033750,False,True
5,0.349103,+0.1200,+0.1200,+0.1200,+0.1200,-0.0600,-4.0000,+1.5000,-0.3000,0.003971,0.157725,0.091104,0.301900,0.016495,0.000000,0.042500,False,True
6,0.372490,+0.0000,+0.0000,+0.0000,+0.0000,-0.0600,+4.0000,+0.6000,-0.3000,0.002862,0.163383,0.086345,0.277052,0.018544,0.002125,0.010000,False,False
7,0.377892,+0.0000,+0.0000,+0.0000,+0.0000,-0.0600,-4.0000,+0.2000,+0.0000,0.002822,0.172117,0.086347,0.278018,0.018528,0.002072,0.000000,False,False
8,0.378652,+0.0000,+0.0000,+0.0000,+0.0000,-0.0600,+4.0000,-0.6000,+0.0000,0.002819,0.167040,0.086335,0.279255,0.018521,0.002072,0.012500,False,False
9,0.383284,+0.0000,+0.0000,+0.0000,+0.0000,-0.0600,+8.0000,+0.6000,-0.3000,0.002979,0.164882,0.086332,0.278788,0.018363,0.002308,0.017500,False,False
10,0.384665,+0.0000,+0.0000,+0.0000,+0.0000,-0.0600,+8.0000,-0.6000,+0.0000,0.002803,0.167123,0.086338,0.279570,0.018577,0.002174,0.018750,False,False
11,0.386912,+0.0000,+0.0000,+0.0000,+0.0000,-0.0600,+4.0000,+1.5000,+0.3000,0.002742,0.163344,0.086334,0.281014,0.018394,0.002274,0.027500,False,False
12,0.388580,+0.0000,+0.0000,+0.0000,+0.0000,-0.0600,+1.0000,+1.5000,+0.3000,0.002788,0.164731,0.086351,0.276692,0.018617,0.002505,0.021250,False,False
13,0.396346,+0.0000,+0.0000,+0.0000,+0.0000,-0.0600,+8.0000,+1.5000,+0.3000,0.002929,0.172052,0.086349,0.279997,0.018322,0.002144,0.027500,False,False
14,0.396833,+0.0000,+0.0000,+0.0000,+0.0000,-0.0600,-4.0000,-1.5000,+0.3000,0.002829,0.163010,0.086347,0.280412,0.018556,0.002869,0.025000,False,False
15,0.403272,+0.0000,+0.0000,+0.0000,+0.0000,+0.0600,+4.0000,+0.2000,+0.0000,0.002964,0.188681,0.086341,0.278169,0.018519,0.002135,0.001250,False,False
16,0.405304,+0.1200,+0.1200,-0.1200,-0.1200,-0.0600,+8.0000,-0.6000,+0.3000,0.025244,0.157379,0.085416,0.277869,0.016726,0.002875,0.017500,False,True
17,0.405411,+0.0000,+0.0000,+0.0000,+0.0000,+0.0600,-1.0000,-1.5000,-0.3000,0.002801,0.183119,0.086320,0.279683,0.018467,0.001980,0.022500,False,False
18,0.408085,+0.1200,+0.1200,-0.1200,-0.1200,-0.0600,+4.0000,-0.6000,+0.3000,0.025470,0.162269,0.085453,0.275012,0.016779,0.002927,0.010000,False,False
19,0.408493,+0.0000,+0.0000,+0.0000,+0.0000,+0.0600,+8.0000,+1.5000,-0.3000,0.002877,0.180531,0.086339,0.276779,0.018411,0.002207,0.027500,False,False
20,0.408508,+0.1200,+0.1200,-0.1200,-0.1200,-0.0600,-4.0000,-0.6000,-0.3000,0.025412,0.161780,0.085412,0.268682,0.016804,0.003005,0.012500,False,False
21,0.408590,+0.1200,+0.1200,-0.1200,-0.1200,-0.0600,+8.0000,+0.6000,+0.0000,0.025684,0.158123,0.085433,0.273757,0.016956,0.003209,0.011250,False,True
22,0.412084,+0.1200,+0.1200,-0.1200,-0.1200,-0.0600,-4.0000,+0.2000,+0.3000,0.025569,0.159480,0.085440,0.268107,0.016827,0.003720,0.000000,False,True
23,0.412482,+0.0000,+0.0000,+0.0000,+0.0000,+0.0600,-4.0000,-0.6000,+0.3000,0.002787,0.191282,0.086337,0.281351,0.018528,0.002037,0.012500,False,False
24,0.413279,+0.0000,+0.0000,+0.0000,+0.0000,+0.0600,-4.0000,+0.6000,+0.0000,0.002878,0.190195,0.086340,0.277661,0.018458,0.002130,0.015000,False,False
25,0.413420,+0.0000,+0.0000,+0.0000,+0.0000,+0.0600,-4.0000,-1.5000,-0.3000,0.002980,0.189217,0.086358,0.277499,0.018457,0.002128,0.017500,False,False
26,0.416356,-0.1200,-0.1200,+0.1200,+0.1200,-0.0600,+1.0000,+0.2000,+0.3000,0.025371,0.167399,0.085345,0.277279,0.020148,0.003168,0.000000,False,False
27,0.422627,+0.1800,+0.1800,+0.1800,+0.1800,+0.0600,+8.0000,-1.5000,+0.0000,0.004133,0.210449,0.092676,0.320609,0.014866,0.000000,0.033750,False,False
28,0.424528,+0.1200,+0.1200,-0.1200,-0.1200,-0.0600,+4.0000,+0.6000,+0.0000,0.025683,0.172309,0.085423,0.274170,0.016839,0.003010,0.011250,False,False
29,0.425648,-0.1200,-0.1200,+0.1200,+0.1200,-0.0600,-1.0000,+0.2000,+0.3000,0.025403,0.163596,0.085341,0.277219,0.020220,0.003897,0.000000,False,False
30,0.426680,-0.1200,-0.1200,+0.1200,+0.1200,-0.0600,+1.0000,-0.6000,-0.3000,0.025415,0.163633,0.085320,0.274461,0.020208,0.003762,0.007500,False,False
31,0.426959,+0.0000,+0.0000,+0.0000,+0.0000,+0.0600,+8.0000,-1.5000,+0.3000,0.002669,0.187962,0.086327,0.280681,0.018466,0.002373,0.033750,False,False
32,0.427441,-0.1200,-0.1200,+0.1200,+0.1200,-0.0600,-1.0000,-0.6000,-0.3000,0.025391,0.168151,0.085328,0.275616,0.019985,0.003361,0.011250,False,False
33,0.427622,+0.1200,+0.1200,-0.1200,-0.1200,-0.0600,+4.0000,-1.5000,-0.3000,0.026217,0.156745,0.085188,0.286263,0.022589,0.003077,0.038750,False,True
34,0.428634,-0.1200,-0.1200,+0.1200,+0.1200,+0.0600,+1.0000,+0.2000,-0.3000,0.024992,0.176141,0.085577,0.266782,0.016758,0.003432,0.000000,False,False
35,0.429108,-0.1200,-0.1200,+0.1200,+0.1200,+0.0600,-1.0000,+0.2000,-0.3000,0.024801,0.177009,0.085547,0.275189,0.016824,0.003276,0.000000,False,False
36,0.429660,-0.1200,-0.1200,+0.1200,+0.1200,-0.0600,-1.0000,+1.5000,+0.0000,0.025011,0.168758,0.085585,0.275648,0.016799,0.003227,0.021250,False,False
37,0.430669,+0.0000,+0.0000,+0.0000,+0.0000,+0.0600,+4.0000,+1.5000,-0.3000,0.002996,0.196442,0.086346,0.276510,0.018455,0.002274,0.025000,False,False
38,0.431281,-0.1200,-0.1200,+0.1200,+0.1200,+0.0600,-1.0000,+0.6000,+0.3000,0.024572,0.175123,0.085558,0.278382,0.016736,0.003183,0.010000,False,False
39,0.440263,-0.1200,+0.1200,-0.1200,+0.1200,-0.0600,-1.0000,-0.6000,+0.3000,0.002852,0.170767,0.086682,0.277481,0.138199,0.002000,0.010000,False,False
40,0.441919,-0.1200,+0.1200,-0.1200,+0.1200,-0.0600,+1.0000,-0.6000,+0.3000,0.002830,0.171293,0.086675,0.278357,0.138415,0.001953,0.012500,False,False
41,0.441934,-0.1200,+0.1200,-0.1200,+0.1200,-0.0600,+1.0000,-1.5000,-0.3000,0.002884,0.170563,0.086681,0.276196,0.138202,0.001890,0.017500,False,False
42,0.442923,-0.1200,+0.1200,-0.1200,+0.1200,-0.0600,+1.0000,+0.6000,+0.0000,0.002756,0.171733,0.086644,0.284433,0.139287,0.001901,0.011250,False,False
43,0.443265,-0.1200,-0.1200,+0.1200,+0.1200,+0.0600,+1.0000,-1.5000,+0.0000,0.024933,0.176444,0.085580,0.269882,0.016646,0.003351,0.025000,False,False
44,0.443292,-0.1200,+0.1200,-0.1200,+0.1200,-0.0600,-4.0000,+0.6000,+0.0000,0.002827,0.173255,0.086673,0.277841,0.138037,0.001939,0.011250,False,False
45,0.444574,+0.1200,-0.1200,+0.1200,-0.1200,-0.0600,+4.0000,+0.2000,+0.0000,0.002572,0.169599,0.085979,0.281009,0.136336,0.002605,0.000000,False,False
46,0.445845,+0.1200,+0.1200,-0.1200,-0.1200,-0.0600,+8.0000,-1.5000,-0.3000,0.025691,0.174389,0.085435,0.272740,0.016850,0.003313,0.032500,False,False
47,0.446292,+0.1800,+0.1800,-0.1800,-0.1800,-0.0600,+1.0000,-0.6000,+0.0000,0.037349,0.162579,0.084123,0.275995,0.017083,0.004237,0.008750,False,False
48,0.446966,-0.1200,+0.1200,-0.1200,+0.1200,-0.0600,-1.0000,-1.5000,-0.3000,0.002905,0.172003,0.086685,0.274221,0.138291,0.002030,0.018750,False,False
49,0.448276,-0.1200,+0.1200,-0.1200,+0.1200,-0.0600,-1.0000,+0.6000,+0.0000,0.002973,0.172914,0.086674,0.286042,0.139290,0.001901,0.016250,False,False
50,0.451259,+0.1200,-0.1200,+0.1200,-0.1200,-0.0600,-4.0000,-0.6000,+0.3000,0.002824,0.167715,0.085951,0.285598,0.137970,0.002573,0.012500,False,False
51,0.453019,+0.1800,+0.1800,-0.1800,-0.1800,-0.0600,-4.0000,+0.6000,-0.3000,0.037901,0.159246,0.083711,0.290360,0.025123,0.004363,0.008750,False,False
52,0.453065,-0.1200,-0.1200,+0.1200,+0.1200,+0.0600,+4.0000,-1.5000,+0.0000,0.024980,0.185102,0.085601,0.267690,0.016812,0.003224,0.026250,False,False
53,0.453501,+0.1200,-0.1200,+0.1200,-0.1200,-0.0600,+8.0000,+0.2000,+0.0000,0.002889,0.163387,0.085969,0.276508,0.136380,0.003199,0.011250,False,False
54,0.453913,+0.1800,+0.1800,-0.1800,-0.1800,-0.0600,-1.0000,+0.6000,-0.3000,0.037272,0.161429,0.083901,0.288574,0.020578,0.004389,0.010000,False,False
55,0.454077,+0.0000,+0.0000,+0.0000,+0.0000,+0.0600,+8.0000,+0.2000,+0.0000,0.004088,0.191664,0.086329,0.291190,0.022628,0.003662,0.016250,False,False
56,0.454525,+0.1200,+0.1200,-0.1200,-0.1200,+0.0600,+4.0000,+0.2000,+0.3000,0.025497,0.192699,0.085419,0.275138,0.016883,0.003338,0.002500,False,False
57,0.456347,+0.1200,-0.1200,+0.1200,-0.1200,-0.0600,+4.0000,-1.5000,+0.3000,0.002753,0.171937,0.085982,0.280538,0.136355,0.002465,0.018750,False,False
