rank,score,pose_LL,pose_Lcrank,pose_RL,pose_Rcrank,init_roll,kp,kd,kv,tail_abs_roll,max_abs_roll,tail_height,tail_abs_v,tail_leg_error,height_deficit,saturation,done,passed
1,0.822121,+0.1200,+0.1200,-0.1200,-0.1200,-0.1200,-2.0000,+0.3000,+0.0000,0.272850,0.285764,0.085429,0.267031,0.016602,0.003040,0.000000,False,False
2,0.822188,+0.0400,+0.0400,-0.0400,-0.0400,-0.0600,-2.0000,+0.3000,+0.0000,0.282762,0.292044,0.086294,0.263414,0.018444,0.002116,0.000000,False,False
3,0.823762,+0.1200,+0.1200,-0.1200,-0.1200,-0.1200,-2.0000,-0.3000,+0.0000,0.272824,0.286853,0.085434,0.267959,0.016640,0.003032,0.000000,False,False
4,0.825785,+0.0400,+0.0400,-0.0400,-0.0400,-0.0600,-2.0000,+0.8000,+0.0000,0.282577,0.293146,0.086288,0.260931,0.018689,0.002259,0.000000,False,False
5,0.826129,+0.0400,+0.0400,-0.0400,-0.0400,-0.0600,+2.0000,-0.3000,+0.0000,0.282753,0.291442,0.086339,0.275752,0.018494,0.002169,0.000000,False,False
6,0.826894,-0.1200,-0.1200,+0.1200,+0.1200,-0.1200,+2.0000,+0.3000,+0.0000,0.273529,0.284086,0.085647,0.273306,0.016894,0.003260,0.000000,False,False
7,0.827821,+0.1200,+0.1200,-0.1200,-0.1200,-0.1200,-2.0000,+0.8000,+0.0000,0.272859,0.286393,0.085433,0.266174,0.016646,0.003249,0.001429,False,False
8,0.829412,-0.1200,-0.1200,+0.1200,+0.1200,-0.1200,+2.0000,-0.3000,+0.0000,0.273490,0.284555,0.085631,0.274724,0.016802,0.003336,0.000000,False,False
9,0.829574,-0.0400,-0.0400,+0.0400,+0.0400,-0.1200,-2.0000,+0.3000,+0.3000,0.282810,0.290293,0.086321,0.272070,0.019917,0.002439,0.000000,False,False
10,0.830082,-0.1200,-0.1200,+0.1200,+0.1200,-0.1200,+2.0000,-0.8000,+0.0000,0.273182,0.285060,0.085577,0.282793,0.016525,0.003236,0.000000,False,False
11,0.831588,+0.1200,+0.1200,-0.1200,-0.1200,-0.1200,-2.0000,-0.8000,+0.0000,0.272853,0.287387,0.085439,0.270457,0.016686,0.003003,0.011429,False,False
12,0.831719,-0.0400,-0.0400,+0.0400,+0.0400,-0.1200,-2.0000,-0.3000,+0.3000,0.282827,0.290973,0.086327,0.271360,0.019840,0.002510,0.000000,False,False
13,0.832716,+0.0400,+0.0400,-0.0400,-0.0400,-0.0600,+2.0000,-0.8000,+0.0000,0.282805,0.291663,0.086358,0.274999,0.018710,0.002358,0.004286,False,False
14,0.832887,+0.1200,+0.1200,-0.1200,-0.1200,-0.0600,+2.0000,+0.8000,-0.3000,0.272803,0.283456,0.085449,0.277626,0.016922,0.003318,0.008571,False,False
15,0.833193,-0.1800,-0.1800,+0.1800,+0.1800,+0.0000,-2.0000,+0.8000,+0.0000,0.264188,0.276948,0.084334,0.265174,0.015333,0.004703,0.000000,False,False
16,0.833236,-0.1800,-0.1800,+0.1800,+0.1800,+0.0000,-2.0000,-0.3000,+0.0000,0.264164,0.277771,0.084323,0.263837,0.015596,0.004662,0.000000,False,False
