rank,score,pose_LL,pose_Lcrank,pose_RL,pose_Rcrank,init_roll,kp,kd,kv,tail_abs_roll,max_abs_roll,tail_height,tail_abs_v,tail_leg_error,height_deficit,saturation,done,passed
1,0.212640,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+1.0000,-1.5000,+0.3000,0.000130,0.001345,0.086433,0.000998,0.010138,0.003357,0.000000,False,True
2,0.353439,+0.0000,+0.0000,+0.0000,+0.0000,+0.0600,+1.0000,-1.5000,+0.3000,0.004912,0.122347,0.087932,0.189069,0.009730,0.004508,0.042500,False,True
3,0.370449,+0.2500,+0.2500,-0.2500,-0.2500,+0.0000,+1.0000,-1.5000,+0.3000,0.049891,0.061519,0.080890,0.025833,0.034341,0.006957,0.027500,False,False
4,0.377531,-0.2500,-0.2500,+0.2500,+0.2500,+0.0000,+1.0000,-1.5000,+0.3000,0.042168,0.059674,0.082075,0.121454,0.011101,0.007144,0.017500,False,False
5,0.388045,+0.2500,-0.2500,+0.2500,-0.2500,+0.0000,+1.0000,-1.5000,+0.3000,0.002798,0.022745,0.086689,0.151208,0.256854,0.003423,0.005000,False,False
6,0.418820,+0.0000,+0.0000,+0.0000,+0.0000,-0.0600,+1.0000,-1.5000,+0.3000,0.003800,0.145493,0.086673,0.119541,0.016723,0.005205,0.105000,False,True
7,0.421123,+0.2500,+0.2500,-0.2500,-0.2500,+0.0600,+1.0000,-1.5000,+0.3000,0.047759,0.137281,0.081853,0.078315,0.014319,0.006738,0.026250,False,False
8,0.423489,-0.2500,+0.2500,-0.2500,+0.2500,+0.0000,+1.0000,-1.5000,+0.3000,0.005610,0.025589,0.089014,0.248661,0.255930,0.003166,0.020000,False,False
9,0.451202,+0.2500,-0.2500,+0.2500,-0.2500,+0.0600,+1.0000,-1.5000,+0.3000,0.002452,0.114360,0.086323,0.172978,0.256065,0.003599,0.061250,False,False
10,0.462886,-0.2500,+0.2500,-0.2500,+0.2500,+0.0600,+1.0000,-1.5000,+0.3000,0.002792,0.134958,0.087930,0.201721,0.258205,0.002839,0.041250,False,False
11,0.467819,+0.2500,+0.2500,+0.2500,+0.2500,+0.0000,+1.0000,-1.5000,+0.3000,0.000001,0.002772,0.071038,0.001362,0.015738,0.015977,0.000000,False,False
12,0.500371,+0.2500,+0.2500,-0.2500,-0.2500,-0.0600,+1.0000,-1.5000,+0.3000,0.044821,0.122422,0.083357,0.154374,0.020002,0.009105,0.076250,False,False
13,0.516890,+0.2500,-0.2500,+0.2500,-0.2500,-0.0600,+1.0000,-1.5000,+0.3000,0.005833,0.144205,0.087701,0.175786,0.267776,0.004140,0.066250,False,False
14,0.517795,-0.2500,+0.2500,-0.2500,+0.2500,-0.0600,+1.0000,-1.5000,+0.3000,0.003535,0.168055,0.086637,0.122143,0.260216,0.004112,0.050000,False,False
15,0.565196,-0.2500,-0.2500,+0.2500,+0.2500,+0.0600,+1.0000,-1.5000,+0.3000,0.049004,0.200323,0.081446,0.063692,0.017010,0.008344,0.068750,False,False
16,0.567802,+0.2500,+0.2500,+0.2500,+0.2500,-0.0600,+1.0000,-1.5000,+0.3000,0.001566,0.139526,0.072747,0.096665,0.016583,0.016043,0.021250,False,False
17,0.574737,+0.2500,+0.2500,+0.2500,+0.2500,+0.0600,+1.0000,-1.5000,+0.3000,0.001394,0.148722,0.071788,0.048935,0.027372,0.016276,0.018750,False,False
18,0.595543,-0.2500,-0.2500,+0.2500,+0.2500,-0.0600,+1.0000,-1.5000,+0.3000,0.042387,0.216761,0.082182,0.135635,0.012280,0.007855,0.076250,False,False
19,1.607670,-0.2500,-0.2500,+0.2500,+0.2500,-0.1200,+1.0000,-1.5000,+0.3000,0.042950,0.895309,0.082017,0.116479,0.012087,0.009915,0.120000,False,False
20,1.711977,+0.2500,+0.2500,+0.2500,+0.2500,-0.1200,+1.0000,-1.5000,+0.3000,0.001668,0.932223,0.072804,0.103363,0.015725,0.015916,0.080000,False,False
21,1.871706,+0.0000,+0.0000,+0.0000,+0.0000,-0.1200,+1.0000,-1.5000,+0.3000,0.667703,0.835564,0.273811,0.000238,0.000783,0.000000,0.056250,False,False
22,2.013316,-0.2500,+0.2500,-0.2500,+0.2500,-0.1200,+1.0000,-1.5000,+0.3000,0.667611,0.851108,0.273804,0.000288,0.248135,0.000000,0.050000,False,False
