rank,score,pose_LL,pose_Lcrank,pose_RL,pose_Rcrank,init_roll,kp,kd,kv,tail_abs_roll,max_abs_roll,tail_height,tail_abs_v,tail_leg_error,height_deficit,saturation,done,passed
1,0.166378,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-2.0000,+0.5000,-0.3000,0.000024,0.004781,0.086523,0.002590,0.017459,0.000842,0.000000,False,True
2,0.167127,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-0.5000,-0.5000,-0.5000,0.000004,0.004569,0.086477,0.003196,0.016894,0.000886,0.000000,False,True
3,0.174553,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+1.0000,+3.0000,-0.3000,0.000001,0.004799,0.086597,0.001172,0.017172,0.001281,0.000000,False,True
4,0.176847,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-2.0000,+2.0000,+0.3000,0.000001,0.004569,0.086727,0.001231,0.015459,0.001437,0.000000,False,True
5,0.177853,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-0.5000,+0.5000,+0.5000,0.000004,0.004705,0.086701,0.001208,0.016182,0.001470,0.000000,False,True
6,0.178228,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.5000,+1.5000,+0.0000,0.000001,0.004666,0.086681,0.001144,0.016395,0.001484,0.000000,False,True
7,0.178482,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+1.0000,+2.0000,+0.0000,0.003481,0.004923,0.085566,0.000962,0.020267,0.001229,0.000000,False,True
8,0.178711,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+2.0000,-0.5000,-0.5000,0.000614,0.004638,0.086257,0.002453,0.017421,0.001433,0.000000,False,True
9,0.180382,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+2.0000,+1.5000,+0.0000,0.001364,0.005012,0.085127,0.003269,0.016607,0.001487,0.000000,False,True
10,0.182693,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+1.5000,-1.0000,-0.5000,0.000001,0.004857,0.084718,0.001291,0.012856,0.001794,0.000000,False,True
11,0.182923,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.5000,+1.0000,-0.5000,0.000001,0.004935,0.084709,0.001279,0.012880,0.001805,0.000000,False,True
12,0.182976,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+1.0000,+2.0000,-0.5000,0.000001,0.004533,0.084709,0.001258,0.013021,0.001804,0.000000,False,True
13,0.182981,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+1.0000,-2.0000,+0.0000,0.000001,0.004467,0.084710,0.001308,0.013046,0.001803,0.000000,False,True
14,0.182984,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-1.0000,+1.0000,-0.5000,0.000004,0.005264,0.084738,0.001199,0.012818,0.001811,0.000000,False,True
15,0.183030,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+1.5000,+0.5000,-0.5000,0.000001,0.005222,0.084711,0.001331,0.013196,0.001802,0.000000,False,True
16,0.183215,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-0.5000,+2.0000,-0.5000,0.000001,0.005129,0.084720,0.001316,0.013285,0.001809,0.000000,False,True
17,0.183505,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-2.0000,+3.0000,-0.3000,0.000001,0.004718,0.084692,0.001330,0.013161,0.001826,0.000000,False,True
18,0.183533,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+1.5000,-1.0000,+0.5000,0.000001,0.005191,0.084693,0.001310,0.013537,0.001819,0.000000,False,True
19,0.183705,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+1.5000,-1.0000,+0.0000,0.000001,0.004968,0.084686,0.001283,0.013452,0.001830,0.000000,False,True
20,0.183794,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-0.5000,+3.0000,+0.3000,0.000001,0.004647,0.084683,0.001312,0.013380,0.001836,0.000000,False,True
21,0.183833,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-1.0000,+1.5000,-0.3000,0.000001,0.004953,0.084680,0.001333,0.013359,0.001838,0.000000,False,True
22,0.183922,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-2.0000,+3.0000,+0.5000,0.000001,0.004601,0.084677,0.001308,0.013617,0.001836,0.000000,False,True
23,0.183935,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-0.5000,-1.0000,+0.0000,0.000001,0.004685,0.084685,0.001308,0.013554,0.001838,0.000000,False,True
24,0.183970,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+2.0000,+3.0000,+0.3000,0.000001,0.004478,0.084679,0.001294,0.013526,0.001841,0.000000,False,True
25,0.184052,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-2.0000,+2.0000,-0.3000,0.000001,0.004933,0.084683,0.001314,0.013581,0.001843,0.000000,False,True
26,0.184065,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+1.0000,-1.0000,-0.5000,0.000001,0.004729,0.084683,0.001319,0.013841,0.001837,0.000000,False,True
27,0.184180,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-1.0000,+2.0000,+0.5000,0.000001,0.004600,0.084675,0.001245,0.013573,0.001851,0.000000,False,True
28,0.184210,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-0.5000,+1.0000,-0.3000,0.000001,0.004434,0.084673,0.001251,0.013806,0.001847,0.000000,False,True
29,0.184246,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.5000,-2.0000,+0.3000,0.000001,0.004403,0.084678,0.001263,0.013758,0.001849,0.000000,False,True
30,0.184251,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+2.0000,-1.0000,+0.5000,0.000001,0.004920,0.084669,0.001269,0.013738,0.001850,0.000000,False,True
