rank,score,pose_LL,pose_Lcrank,pose_RL,pose_Rcrank,init_roll,kp,kd,kv,tail_abs_roll,max_abs_roll,tail_height,tail_abs_v,tail_leg_error,height_deficit,saturation,done,passed
1,0.240207,+0.1200,-0.1200,+0.1200,-0.1200,+0.0000,+1.0000,-1.5000,+0.3000,0.000001,0.004697,0.084873,0.001268,0.133001,0.001666,0.000000,False,False
2,0.274363,-0.1200,-0.1200,+0.1200,+0.1200,+0.0000,+1.0000,-1.5000,+0.3000,0.023087,0.037438,0.085628,0.098753,0.012016,0.003670,0.003750,False,True
3,0.278976,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+1.0000,-1.5000,+0.3000,0.005188,0.027013,0.087596,0.156669,0.016179,0.002810,0.037500,False,True
4,0.315549,-0.2500,+0.2500,-0.2500,+0.2500,+0.0000,+1.0000,-1.5000,+0.3000,0.000001,0.005046,0.084321,0.000696,0.260262,0.002260,0.000000,False,False
5,0.325506,-0.1200,+0.1200,-0.1200,+0.1200,+0.0000,+1.0000,-1.5000,+0.3000,0.003440,0.022047,0.086868,0.114315,0.131463,0.003427,0.022500,False,False
6,0.355919,+0.1200,+0.1200,+0.1200,+0.1200,+0.0000,+1.0000,-1.5000,+0.3000,0.002130,0.026547,0.080889,0.150692,0.013175,0.007650,0.015000,False,True
7,0.377635,-0.2500,-0.2500,+0.2500,+0.2500,+0.0000,+1.0000,-1.5000,+0.3000,0.044080,0.058673,0.082290,0.121031,0.012643,0.007096,0.015000,False,False
8,0.381938,+0.2500,-0.2500,+0.2500,-0.2500,+0.0000,+1.0000,-1.5000,+0.3000,0.002574,0.020897,0.086819,0.111038,0.265691,0.002798,0.028750,False,False
9,0.394833,+0.1200,+0.1200,-0.1200,-0.1200,+0.0000,+1.0000,-1.5000,+0.3000,0.023457,0.066767,0.087888,0.146302,0.016471,0.004275,0.156250,False,True
10,0.448549,+0.2500,+0.2500,-0.2500,-0.2500,+0.0000,+1.0000,-1.5000,+0.3000,0.047980,0.077519,0.083542,0.155953,0.020331,0.008231,0.065000,False,False
11,0.460037,+0.2500,+0.2500,+0.2500,+0.2500,+0.0000,+1.0000,-1.5000,+0.3000,0.000001,0.006585,0.071028,0.001288,0.016798,0.015563,0.000000,False,False
12,0.511229,+0.0000,+0.0000,+0.0000,+0.0000,+0.0600,+1.0000,-1.5000,+0.3000,0.002844,0.262750,0.086268,0.059868,0.013278,0.003584,0.073750,False,False
13,0.539985,-0.1200,-0.1200,+0.1200,+0.1200,+0.0600,+1.0000,-1.5000,+0.3000,0.022738,0.260927,0.085695,0.113829,0.011491,0.003915,0.056250,False,False
14,0.550715,+0.1200,-0.1200,+0.1200,-0.1200,+0.0600,+1.0000,-1.5000,+0.3000,0.003463,0.260631,0.086578,0.066290,0.133924,0.002901,0.062500,False,False
15,0.604405,+0.1200,+0.1200,+0.1200,+0.1200,+0.0600,+1.0000,-1.5000,+0.3000,0.002054,0.258688,0.080853,0.133137,0.013118,0.007772,0.063750,False,False
16,0.610990,-0.2500,-0.2500,+0.2500,+0.2500,+0.0600,+1.0000,-1.5000,+0.3000,0.040038,0.255116,0.082263,0.143197,0.012568,0.006877,0.045000,False,False
17,0.615646,+0.1200,-0.1200,+0.1200,-0.1200,-0.0600,+1.0000,-1.5000,+0.3000,0.002391,0.299867,0.086934,0.110401,0.127215,0.002361,0.082500,False,False
18,0.618267,-0.1200,-0.1200,+0.1200,+0.1200,-0.0600,+1.0000,-1.5000,+0.3000,0.023279,0.329310,0.085621,0.086942,0.012912,0.003646,0.047500,False,False
19,0.619486,+0.0000,+0.0000,+0.0000,+0.0000,-0.0600,+1.0000,-1.5000,+0.3000,0.006954,0.301881,0.088756,0.198992,0.009993,0.003973,0.076250,False,False
20,0.629920,-0.2500,+0.2500,-0.2500,+0.2500,+0.0600,+1.0000,-1.5000,+0.3000,0.000547,0.279001,0.086087,0.008657,0.260967,0.002922,0.078750,False,False
